categories,place_name,place_name_link,thumbnail_image,url_y,review_count,rating,review_talk_1,review_talk_2,review_talk_3,address,postcode,categories_all,reviews_combined,rev_cat_soup
"Historic Sites, History Museums, Military Museums",Churchill War Rooms,https://www.tripadvisor.com/Attraction_Review-g186338-d194299-Reviews-c49-Churchill_War_Rooms-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/0e/ad/89/aa/photo5jpg.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d194299-Reviews-c49-Churchill_War_Rooms-London_England.html,"17,993",4.5,“map room”,“underground bunker”,“audio guide”,"Clive Steps | King Charles Street, London SW1A 2AQ, England",SW1A 2AQ,historic sites history museums military museums,map room underground bunker audio guide,map room underground bunker audio guide historic sites history museums military museumschurchill war rooms
"Libraries, History Museums",British Library,https://www.tripadvisor.com/Attraction_Review-g186338-d187728-Reviews-c49-British_Library-London_England.html,https://media-cdn.tripadvisor.com/media/photo-s/03/13/dd/af/the-cafe-and-part-of.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d187728-Reviews-c49-British_Library-London_England.html,"3,390",4.5,“magna carta”,“gutenberg bible”,“historical documents”,"96 Euston Road, London NW1 2DB, England",NW1 2DB,libraries history museums,magna carta gutenberg bible historical documents,magna carta gutenberg bible historical documents libraries history museumsbritish library
"Historic Sites, History Museums",Sutton House,https://www.tripadvisor.com/Attraction_Review-g186338-d211726-Reviews-c49-Sutton_House-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/05/c5/ef/fa/locked-up-in-the-cellar.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d211726-Reviews-c49-Sutton_House-London_England.html,68,4.5,“tudor times”,“national trust”,“interesting house”,"Sutton House 2-4 Homerton High Street, London E9 6JQ, England",E9 6JQ,historic sites history museums,tudor times national trust interesting house,tudor times national trust interesting house historic sites history museumssutton house
"Historic Sites, Art Museums, History Museums, Specialty Museums",Freud Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d194138-Reviews-c49-Freud_Museum-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/09/a3/71/36/freud-museum.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d194138-Reviews-c49-Freud_Museum-London_England.html,267,4.5,“famous couch”,“his life”,“audio guide”,"20 Maresfield Gardens | Hampstead, London NW3 5SX, England",NW3 5SX,historic sites art museums history museums specialty museums,famous couch his life audio guide,famous couch his life audio guide historic sites art museums history museums specialty museumsfreud museum
Art Museums,National Gallery,https://www.tripadvisor.com/Attraction_Review-g186338-d188862-Reviews-c49-National_Gallery-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/08/15/74/b2/galeria-nacional.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d188862-Reviews-c49-National_Gallery-London_England.html,"32,698",4.5,“trafalgar square”,“van gogh”,“famous paintings”,"Trafalgar Square, London WC2N 5DN, England",WC2N 5DN,art museums,trafalgar square van gogh famous paintings,trafalgar square van gogh famous paintings art museumsnational gallery
Art Museums,Tate Britain,https://www.tripadvisor.com/Attraction_Review-g186338-d188865-Reviews-c49-Tate_Britain-London_England.html,https://media-cdn.tripadvisor.com/media/photo-s/01/cc/3a/1d/tate-britain.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d188865-Reviews-c49-Tate_Britain-London_England.html,"3,282",4.5,“hockney exhibition”,“british artists”,“pre raphaelite”,"Millbank, London SW1P 4RG, England",SW1P 4RG,art museums,hockney exhibition british artists pre raphaelite,hockney exhibition british artists pre raphaelite art museumstate britain
Art Museums,The Courtauld Gallery,https://www.tripadvisor.com/Attraction_Review-g186338-d1632504-Reviews-c49-The_Courtauld_Gallery-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/02/3a/63/ee/the-courtauld-gallery.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d1632504-Reviews-c49-The_Courtauld_Gallery-London_England.html,"3,296",4.5,“somerset house”,“van gogh”,“impressionist paintings”,"Somerset House Strand | Somerset House, London WC2R 0RN, England",WC2R 0RN,art museums,somerset house van gogh impressionist paintings,somerset house van gogh impressionist paintings art museumsthe courtauld gallery
"Educational sites, Art Museums",Royal Academy of Arts,https://www.tripadvisor.com/Attraction_Review-g186338-d188864-Reviews-c49-Royal_Academy_of_Arts-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/01/c1/24/d3/provided-by-royal-academy.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d188864-Reviews-c49-Royal_Academy_of_Arts-London_England.html,"1,722",4.5,“summer exhibition”,“abstract expressionism”,“david hockney exhibition”,"Burlington House Piccadilly | Piccadilly, London W1J 0BD, England",W1J 0BD,educational sites art museums,summer exhibition abstract expressionism david hockney exhibition,summer exhibition abstract expressionism david hockney exhibition educational sites art museumsroyal academy of arts
Specialty Museums,Museum of Happiness,https://www.tripadvisor.com/Attraction_Review-g186338-d10596128-Reviews-c49-Museum_of_Happiness-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/11/58/f0/83/our-first-dedicated-space.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d10596128-Reviews-c49-Museum_of_Happiness-London_England.html,30,4.5,“lots of fun”,“ball pool”,“camden town”,"220 Arlington Road | Arlington House, London NW1 7HE, England",NW1 7HE,specialty museums,lots of fun ball pool camden town,lots of fun ball pool camden town specialty museumsmuseum of happiness
Specialty Museums,The Cinema Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d3188097-Reviews-c49-The_Cinema_Museum-London_England.html,https://media-cdn.tripadvisor.com/media/photo-f/04/00/c3/32/the-cinema-museum.jpg,https://www.tripadvisor.com/Attraction_Review-g186338-d3188097-Reviews-c49-The_Cinema_Museum-London_England.html,59,4.5,“elephant and castle”,“charlie chaplin”,“guided tour”,"2 Dugard Way, London SE11 4TH, England",SE11 4TH,specialty museums,elephant and castle charlie chaplin guided tour,elephant and castle charlie chaplin guided tour specialty museumsthe cinema museum
